Brand,cluster,Listing Price,Sale Price,Discount,Rating,Reviews,Brand_Encoded
Adidas ORIGINALS,0,10999,10999,0,4.7,42,2
Adidas ORIGINALS,1,5999,5999,0,2.6,69,2
Adidas ORIGINALS,0,12999,12999,0,4.8,36,2
Adidas ORIGINALS,0,7599,7599,0,5.0,17,2
Adidas ORIGINALS,0,11999,11999,0,4.8,37,2
Adidas ORIGINALS,0,11999,5999,50,3.1,19,2
Adidas ORIGINALS,1,8999,4499,50,0.0,4,2
Adidas ORIGINALS,0,15999,7999,50,4.1,33,2
Adidas ORIGINALS,0,9999,4999,50,3.5,65,2
Adidas ORIGINALS,0,11999,5999,50,3.3,37,2
Adidas ORIGINALS,0,14999,7499,50,2.9,14,2
Adidas ORIGINALS,0,10999,5499,50,4.4,67,2
Adidas ORIGINALS,1,7999,3999,50,5.0,17,2
Adidas ORIGINALS,0,11999,5999,50,4.7,97,2
Adidas ORIGINALS,0,11999,5999,50,3.2,57,2
Adidas ORIGINALS,1,7999,4799,40,3.6,0,2
Adidas ORIGINALS,1,7999,4799,40,3.9,15,2
Adidas ORIGINALS,1,7599,4559,40,3.1,57,2
Adidas ORIGINALS,1,7999,4799,40,3.0,46,2
Adidas CORE / NEO,1,7499,3000,60,4.8,62,1
Adidas ORIGINALS,0,11999,7199,40,4.2,2,2
Adidas ORIGINALS,1,7999,3999,50,3.4,65,2
Adidas CORE / NEO,1,6299,3149,50,2.5,6,1
Adidas ORIGINALS,0,12999,7799,40,4.1,96,2
Adidas ORIGINALS,0,11999,5999,50,2.0,37,2
Adidas ORIGINALS,1,8999,4499,50,4.2,86,2
Adidas CORE / NEO,1,6999,3499,50,2.4,28,1
Adidas ORIGINALS,1,7999,3999,50,2.0,89,2
Adidas CORE / NEO,1,6999,3499,50,2.2,99,1
Adidas CORE / NEO,1,5999,2999,50,4.2,6,1
Adidas CORE / NEO,1,5999,2999,50,2.4,88,1
Adidas ORIGINALS,1,8999,4499,50,3.3,4,2
Adidas CORE / NEO,1,5599,2799,50,2.9,61,1
Adidas CORE / NEO,1,5299,2649,50,5.0,40,1
Adidas ORIGINALS,1,7999,4799,40,4.2,49,2
Adidas CORE / NEO,1,4599,2299,50,3.2,64,1
Adidas ORIGINALS,1,7999,3999,50,3.7,59,2
Adidas ORIGINALS,0,9999,4999,50,2.6,52,2
Adidas CORE / NEO,1,3599,2159,40,2.8,35,1
Adidas SPORT PERFORMANCE,0,15999,9599,40,5.0,59,3
Adidas SPORT PERFORMANCE,0,11999,7199,40,2.4,50,3
Adidas CORE / NEO,1,3799,1899,50,4.4,83,1
Adidas SPORT PERFORMANCE,0,11999,7199,40,3.0,73,3
Adidas ORIGINALS,1,7999,4799,40,4.0,99,2
Adidas ORIGINALS,1,7999,4799,40,4.5,15,2
Adidas ORIGINALS,1,8999,5399,40,1.5,53,2
Adidas SPORT PERFORMANCE,0,13999,8399,40,2.8,32,3
Adidas SPORT PERFORMANCE,1,2499,1499,40,3.5,71,3
Adidas SPORT PERFORMANCE,0,15999,9599,40,4.1,41,3
Adidas SPORT PERFORMANCE,1,3299,1979,40,3.1,22,3
Adidas SPORT PERFORMANCE,0,11999,7199,40,4.0,20,3
Adidas SPORT PERFORMANCE,0,15999,9599,40,3.6,85,3
Adidas ORIGINALS,1,6999,3499,50,3.2,54,2
Adidas CORE / NEO,1,5599,2240,60,5.0,1,1
Adidas CORE / NEO,1,3999,1999,50,4.1,56,1
Adidas CORE / NEO,1,6999,3499,50,3.8,3,1
Adidas CORE / NEO,1,5299,2649,50,4.0,61,1
Adidas CORE / NEO,1,4999,2999,40,1.5,43,1
Adidas CORE / NEO,1,3799,1899,50,4.5,45,1
Adidas CORE / NEO,1,3999,1999,50,5.0,20,1
Adidas CORE / NEO,1,5599,2799,50,2.5,78,1
Adidas CORE / NEO,1,4599,2299,50,4.3,50,1
Adidas ORIGINALS,1,7999,3999,50,4.8,18,2
Adidas CORE / NEO,1,4299,2149,50,2.7,25,1
Adidas SPORT PERFORMANCE,1,2999,1799,40,1.5,98,3
Adidas CORE / NEO,1,5999,5999,0,4.0,53,1
Adidas SPORT PERFORMANCE,1,2799,1679,40,2.9,55,3
Adidas CORE / NEO,1,3999,2399,40,4.0,45,1
Adidas ORIGINALS,1,7999,4799,40,4.1,19,2
Adidas CORE / NEO,1,5999,5999,0,4.2,52,1
Adidas CORE / NEO,1,5999,5999,0,1.0,13,1
Adidas CORE / NEO,1,5599,5599,0,3.6,55,1
Adidas ORIGINALS,1,5999,2999,50,3.7,28,2
Adidas CORE / NEO,1,4999,2499,50,3.4,13,1
Adidas CORE / NEO,1,3999,2399,40,2.0,54,1
Adidas CORE / NEO,1,5999,2999,50,3.2,45,1
Adidas SPORT PERFORMANCE,0,12999,6499,50,4.9,76,3
Adidas CORE / NEO,1,5999,5999,0,0.0,73,1
Adidas CORE / NEO,1,6599,3299,50,2.5,47,1
Adidas CORE / NEO,1,3799,1899,50,2.7,93,1
Adidas ORIGINALS,1,7999,3999,50,1.5,69,2
Adidas ORIGINALS,1,7999,3999,50,2.9,65,2
Adidas CORE / NEO,1,5999,5999,0,4.0,38,1
Adidas ORIGINALS,0,12999,6499,50,3.7,62,2
Adidas ORIGINALS,1,7999,3999,50,2.8,6,2
Adidas CORE / NEO,1,6999,3499,50,0.0,89,1
Adidas CORE / NEO,1,6999,6999,0,4.7,6,1
Adidas CORE / NEO,1,5599,5599,0,4.5,10,1
Adidas CORE / NEO,1,6999,6999,0,4.7,9,1
Adidas CORE / NEO,0,7599,7599,0,4.3,8,1
Adidas ORIGINALS,1,7999,3999,50,3.6,66,2
Adidas CORE / NEO,1,4999,4999,0,3.8,32,1
Adidas ORIGINALS,1,7999,3999,50,4.7,16,2
Adidas SPORT PERFORMANCE,1,2499,1499,40,3.2,49,3
Adidas ORIGINALS,0,12999,12999,0,5.0,64,2
Adidas CORE / NEO,1,1499,600,60,2.9,0,1
Adidas CORE / NEO,1,5999,2999,50,2.5,46,1
Adidas CORE / NEO,1,4299,2149,50,4.4,88,1
Adidas CORE / NEO,1,5599,5599,0,3.2,52,1
Adidas CORE / NEO,1,5599,5599,0,4.5,46,1
Adidas CORE / NEO,0,7999,7999,0,3.5,93,1
Adidas ORIGINALS,0,11999,7199,40,3.5,4,2
Adidas ORIGINALS,0,10999,10999,0,4.3,24,2
Adidas ORIGINALS,0,10999,10999,0,4.1,74,2
Adidas ORIGINALS,1,7599,4559,40,3.2,72,2
Adidas ORIGINALS,1,7999,4799,40,2.7,62,2
Adidas CORE / NEO,1,5599,5599,0,4.8,97,1
Adidas CORE / NEO,1,5599,5599,0,2.8,56,1
Adidas ORIGINALS,0,11999,7199,40,3.1,36,2
Adidas ORIGINALS,1,5999,2999,50,2.8,44,2
Adidas ORIGINALS,1,7599,3799,50,3.1,10,2
Adidas CORE / NEO,1,3999,3999,0,2.7,48,1
Adidas ORIGINALS,1,7599,4559,40,2.0,48,2
Adidas SPORT PERFORMANCE,1,7599,3799,50,3.2,83,3
Adidas ORIGINALS,1,5999,2999,50,4.9,15,2
Adidas CORE / NEO,1,5299,2649,50,4.5,69,1
Adidas CORE / NEO,1,5599,2799,50,2.4,17,1
Adidas CORE / NEO,1,5299,2649,50,4.9,23,1
Adidas CORE / NEO,1,5599,2799,50,3.3,30,1
Adidas CORE / NEO,1,4599,2299,50,2.9,12,1
Adidas CORE / NEO,1,6599,3299,50,4.0,84,1
Adidas SPORT PERFORMANCE,1,7999,3999,50,1.0,42,3
Adidas CORE / NEO,1,4599,2299,50,4.2,76,1
Adidas CORE / NEO,1,6599,3299,50,4.6,72,1
